# X/D Delta/A Theta/A H
-1.000000000000000000e+01 7.829130376936103974e-03 7.770793265396629818e-03 1.007507227325072252e+00
-8.000000000000000000e+00 1.744642059841756618e-02 1.676333188690286302e-02 1.040748982130956790e+00
-6.000000000000000000e+00 3.238874694897649759e-02 3.144958807323185168e-02 1.029862358564371805e+00
-4.000000000000000000e+00 6.608823587511968023e-02 6.384869051375763327e-02 1.035075822907902676e+00
-2.000000000000000000e+00 1.438485961411686276e-01 1.406391423328662016e-01 1.022820487632854380e+00
0.000000000000000000e+00 2.507233521645256813e-01 1.135011993348852138e-01 2.208992976583151080e+00
2.000000000000000000e+00 4.607290309504514236e-01 2.001020508107780038e-01 2.302470309942647564e+00
4.000000000000000000e+00 4.852251725728001230e-01 3.315432757343623749e-01 1.463534953312007669e+00
6.000000000000000000e+00 4.683575853491313556e-01 3.649566726634729807e-01 1.283323803702596022e+00
8.000000000000000000e+00 4.324739657547582716e-01 3.562542145522921699e-01 1.213947647744328062e+00
1.000000000000000000e+01 3.995690071291109202e-01 3.406424537260695495e-01 1.172986522256640685e+00
