# z WS WD Th TKE TI
0.000000000000000000e+00 2.086747943597117239e+00 2.655636502880600460e+02 3.050022101180121012e+02 3.275766988422462722e-01 3.740624168277733030e-01
6.363636399999999860e+00 3.854993892563238767e+00 2.655646990314581330e+02 3.050022228281569028e+02 3.455748848881938784e-01 2.092392454658217327e-01
1.272727300000000028e+01 4.561137787256265952e+00 2.655671795127612995e+02 3.050022445848854886e+02 3.712442795312654309e-01 1.786524691802829079e-01
1.909090899999999991e+01 4.902271050388241846e+00 2.655698460212730652e+02 3.050022669565208275e+02 3.809097490985358103e-01 1.647493927758752197e-01
2.545454499999999953e+01 5.119518021342853054e+00 2.655715333254100869e+02 3.050022881790878841e+02 3.792720620419559041e-01 1.554918026763034422e-01
3.181818200000000019e+01 5.270262790020414201e+00 2.655731249833859238e+02 3.050023077028972693e+02 3.489339263345409003e-01 1.437721733762282739e-01
3.818181799999999981e+01 5.404244310277893426e+00 2.655743307217493339e+02 3.050023283819862741e+02 3.404215486849843098e-01 1.376112118192929501e-01
4.454545499999999691e+01 5.534111164871236888e+00 2.655754405402898328e+02 3.050023494937875626e+02 3.417582807656148192e-01 1.341593678392709321e-01
5.090909099999999654e+01 5.647662929623005645e+00 2.655789105331454039e+02 3.050023701790877340e+02 3.214110439029201904e-01 1.265770882282406806e-01
5.727272700000000327e+01 5.754787416312599824e+00 2.655820759582023811e+02 3.050023933954439030e+02 3.030227204606014690e-01 1.200874043080672887e-01
6.363636400000000037e+01 5.852078188935879943e+00 2.655846260229210998e+02 3.050024204824005096e+02 2.988941124211237366e-01 1.172831177271013575e-01
7.000000000000000000e+01 5.946142030871457429e+00 2.655866305686581086e+02 3.050024499264999349e+02 3.030478363526234453e-01 1.162379621888281894e-01
7.636363599999999963e+01 6.035974476243069375e+00 2.655887944427788057e+02 3.050024812981356490e+02 2.825762291858373021e-01 1.104312144393939238e-01
8.272727299999999673e+01 6.113441311997977579e+00 2.655916103128731152e+02 3.050025120797091631e+02 2.700964849727344741e-01 1.062445082220344339e-01
8.909090899999999635e+01 6.177157867903468436e+00 2.655944603300055746e+02 3.050025424254648101e+02 2.660721338472634145e-01 1.041592498165346686e-01
9.545454499999999598e+01 6.236461954245385186e+00 2.655972689248066558e+02 3.050025719016554717e+02 2.633079220682426058e-01 1.024614293357003769e-01
1.018181799999999981e+02 6.291836577219545923e+00 2.655998184413260219e+02 3.050025995393367566e+02 2.552421669220430456e-01 9.986810960512795821e-02
1.081818200000000019e+02 6.344428108788624066e+00 2.656019922515135931e+02 3.050026287546577350e+02 2.541209331694350149e-01 9.896293724444235607e-02
1.145454500000000024e+02 6.398761268267516122e+00 2.656042470405898825e+02 3.050026599233948446e+02 2.591204772349919305e-01 9.925512102546378557e-02
